chromosome	position 1	position 2	replicate 1.1	replicate 1.2	replicate 1.3	replicate 2.1	replicate 2.2	replicate 2.3
17	500000	2500000	1301	904	1021	735	447	1095
17	500000	3000000	1280	966	1040	741	478	1172
17	500000	3500000	873	654	727	519	293	741
17	500000	4000000	706	444	562	383	186	578
17	500000	4500000	948	805	851	532	322	826
17	500000	5000000	696	702	551	314	209	478
17	500000	5500000	599	494	471	360	234	572
17	500000	6000000	469	416	358	375	200	434
17	500000	6500000	381	241	263	268	157	335
17	500000	7000000	343	289	255	279	145	384
17	500000	7500000	386	352	289	311	169	375
17	500000	8000000	438	393	298	314	179	426
17	500000	8500000	295	261	194	190	114	289
17	500000	9000000	530	461	384	314	186	459
17	500000	9500000	463	493	358	348	185	439
17	500000	10000000	341	357	256	215	137	330
17	500000	10500000	301	307	208	201	112	263
17	500000	11000000	203	202	119	130	85	175
17	500000	11500000	198	162	112	127	61	154
17	500000	12000000	219	202	151	186	98	209
17	500000	12500000	225	283	190	208	143	252
17	500000	13000000	281	235	227	231	131	291
17	500000	13500000	466	475	350	365	181	415
17	500000	14000000	292	257	196	184	106	253
17	500000	14500000	277	287	222	210	118	287
17	500000	15000000	210	196	171	181	82	229
17	500000	15500000	352	330	257	242	138	330
17	500000	16000000	278	195	201	178	104	253
17	500000	16500000	327	266	230	217	137	304
17	500000	17000000	322	257	202	205	100	265
17	500000	17500000	332	299	238	226	130	315
17	500000	18000000	286	262	202	199	117	256
17	500000	18500000	219	181	144	165	90	215
17	500000	19000000	257	268	165	197	106	234
17	500000	19500000	334	350	243	191	142	295
17	500000	20000000	279	224	212	220	102	273
17	500000	20500000	289	230	199	179	110	227
17	500000	21000000	226	186	165	166	83	227
17	500000	21500000	244	242	186	199	104	248
17	500000	22000000	240	221	176	189	104	228
17	500000	22500000	243	192	163	162	93	234
17	500000	23000000	270	207	186	178	117	239
17	500000	23500000	267	218	198	171	103	240
17	500000	24000000	271	248	210	179	102	225
17	500000	24500000	239	199	160	153	96	179
17	500000	25000000	201	219	160	164	89	170
17	500000	25500000	238	249	185	191	105	212
17	500000	26000000	186	263	141	131	88	182
17	500000	26500000	143	186	93	130	60	168
17	500000	27000000	132	159	95	123	65	144
17	500000	27500000	156	166	99	146	64	146
17	500000	28000000	125	145	89	100	66	156
17	500000	28500000	114	126	102	110	54	111
17	500000	29000000	119	88	83	104	63	120
17	500000	29500000	130	144	107	106	70	160
17	500000	30000000	69	83	46	76	32	88
17	500000	30500000	71	77	46	65	34	91
17	500000	31000000	62	61	42	66	23	82
17	500000	31500000	45	38	35	61	24	84
17	500000	32000000	40	54	28	60	23	83
17	500000	32500000	39	37	24	42	22	57
17	500000	33000000	61	53	56	68	32	62
17	500000	33500000	47	37	34	45	16	52
17	500000	34000000	57	71	26	58	38	88
17	500000	34500000	37	43	24	39	23	40
17	500000	35000000	32	39	23	42	20	55
17	500000	35500000	25	47	17	34	17	30
17	500000	36000000	32	33	21	28	11	31
17	500000	36500000	36	37	19	42	12	43
17	500000	37000000	37	37	28	23	10	44
17	500000	37500000	33	33	23	25	10	32
17	500000	38000000	20	15	14	26	14	13
17	500000	38500000	17	43	21	24	18	25
17	500000	39000000	27	32	12	21	13	33
17	500000	39500000	33	28	22	28	15	36
17	500000	40000000	26	32	16	31	12	38
17	500000	40500000	33	43	21	37	16	56
17	500000	41000000	41	45	25	25	22	45
17	500000	41500000	55	47	39	47	22	53
17	500000	42000000	65	93	52	69	31	69
17	500000	42500000	72	97	55	60	38	87
17	500000	43000000	74	79	52	55	26	67
17	500000	43500000	69	99	74	74	31	76
17	500000	44000000	116	124	101	113	54	101
17	500000	44500000	167	189	118	146	71	135
17	500000	45000000	180	161	110	144	71	192
17	500000	45500000	159	161	100	106	49	157
17	500000	46000000	133	100	80	78	54	105
17	500000	46500000	97	102	64	80	40	89
17	500000	47000000	91	72	59	83	24	67
17	500000	47500000	48	61	40	50	20	60
17	500000	48000000	56	50	27	55	30	51
17	500000	48500000	44	72	44	42	28	58
17	500000	49000000	39	35	24	30	26	50
17	500000	49500000	35	51	24	54	25	50
17	500000	50000000	31	47	21	38	21	49
17	500000	50500000	45	31	25	33	20	31
17	500000	51000000	53	39	30	35	18	39
17	500000	51500000	33	40	29	23	19	32
17	500000	52000000	45	51	44	54	15	51
17	500000	52500000	64	76	50	80	33	80
17	500000	53000000	95	106	87	111	48	135
17	500000	53500000	135	127	91	115	63	188
17	500000	54000000	112	138	98	89	60	151
17	500000	54500000	134	163	112	112	44	128
17	500000	55000000	156	169	141	114	64	139
17	500000	55500000	223	170	160	132	100	177
17	500000	56000000	176	154	137	141	73	168
17	500000	56500000	181	205	117	126	67	143
17	500000	57000000	132	147	77	99	46	96
17	500000	57500000	87	111	74	86	38	73
17	500000	58000000	59	78	39	48	18	71
17	500000	58500000	54	68	46	59	20	72
17	500000	59000000	72	70	36	61	24	53
17	500000	59500000	89	88	53	72	28	91
17	500000	60000000	74	65	50	64	23	62
17	500000	60500000	51	82	54	58	34	79
17	500000	61000000	51	62	35	48	25	52
17	500000	61500000	25	31	15	19	10	19
17	500000	62000000	14	27	15	27	9	26
17	500000	62500000	19	27	22	25	5	17
17	500000	63000000	62	83	34	58	20	66
17	1000000	1000000	6476	4584	6024	2288	2677	5137
17	1000000	1500000	5908	3609	5284	2336	2379	4600
17	1000000	2000000	1341	701	1018	666	407	1063
17	1000000	2500000	1469	826	1114	694	380	1085
17	1000000	3000000	1548	826	1184	700	426	1172
17	1000000	3500000	907	556	680	486	225	639
17	1000000	4000000	639	365	525	359	164	427
17	1000000	4500000	1177	686	852	492	342	757
17	1000000	5000000	753	678	613	344	241	513
17	1000000	5500000	675	505	558	388	255	590
17	1000000	6000000	416	288	281	328	143	395
17	1000000	6500000	325	159	187	240	129	297
17	1000000	7000000	315	248	219	222	130	285
17	1000000	7500000	392	266	297	265	149	340
17	1000000	8000000	410	337	333	301	159	368
17	1000000	8500000	244	224	171	188	121	226
17	1000000	9000000	405	323	291	290	162	420
17	1000000	9500000	400	306	267	285	125	329
17	1000000	10000000	308	271	225	208	101	244
17	1000000	10500000	322	330	238	175	116	224
17	1000000	11000000	213	207	151	141	72	181
17	1000000	11500000	219	199	149	138	70	168
17	1000000	12000000	207	195	171	200	119	194
17	1000000	12500000	231	241	203	225	123	250
17	1000000	13000000	292	217	186	238	132	288
17	1000000	13500000	416	351	296	301	172	351
17	1000000	14000000	243	241	181	202	129	269
17	1000000	14500000	288	241	217	235	109	285
17	1000000	15000000	188	151	143	155	69	182
17	1000000	15500000	272	213	197	196	121	271
17	1000000	16000000	222	153	174	200	93	222
17	1000000	16500000	300	205	200	195	105	291
17	1000000	17000000	276	184	206	183	119	253
17	1000000	17500000	335	322	224	267	146	330
17	1000000	18000000	247	250	202	200	115	262
17	1000000	18500000	157	144	102	142	78	156
17	1000000	19000000	263	222	206	208	93	230
17	1000000	19500000	335	337	262	217	128	300
17	1000000	20000000	275	274	229	223	123	270
17	1000000	20500000	260	232	215	207	111	251
17	1000000	21000000	204	162	146	168	80	197
17	1000000	21500000	238	223	180	171	107	215
17	1000000	22000000	301	197	216	209	119	252
17	1000000	22500000	208	143	184	165	83	193
17	1000000	23000000	230	164	159	137	83	210
17	1000000	23500000	254	183	181	155	76	193
17	1000000	24000000	242	195	172	147	87	223
17	1000000	24500000	232	167	161	136	91	160
17	1000000	25000000	201	173	155	124	65	148
17	1000000	25500000	214	177	143	182	96	186
17	1000000	26000000	231	226	184	164	81	179
17	1000000	26500000	139	150	106	133	56	132
17	1000000	27000000	136	112	106	128	72	127
17	1000000	27500000	143	153	117	114	59	143
17	1000000	28000000	130	117	95	105	65	138
17	1000000	28500000	113	99	81	98	54	132
17	1000000	29000000	116	107	65	104	54	115
17	1000000	29500000	99	117	82	130	44	117
17	1000000	30000000	83	80	56	91	52	73
17	1000000	30500000	73	69	42	66	33	78
17	1000000	31000000	72	47	41	76	34	91
17	1000000	31500000	63	52	36	52	36	89
17	1000000	32000000	43	44	42	70	34	75
17	1000000	32500000	46	29	36	48	19	51
17	1000000	33000000	60	64	29	71	34	68
17	1000000	33500000	39	25	28	61	25	62
17	1000000	34000000	48	43	30	59	32	55
17	1000000	34500000	32	34	25	36	11	64
17	1000000	35000000	43	62	35	43	19	53
17	1000000	35500000	35	38	30	40	22	37
17	1000000	36000000	40	37	27	32	17	46
17	1000000	36500000	44	37	20	27	12	54
17	1000000	37000000	35	40	19	31	13	31
17	1000000	37500000	25	24	28	33	23	34
17	1000000	38000000	35	26	22	36	10	32
17	1000000	38500000	33	30	27	27	14	37
17	1000000	39000000	27	58	26	36	14	41
17	1000000	39500000	36	32	16	47	18	37
17	1000000	40000000	29	34	16	33	10	32
17	1000000	40500000	45	37	26	30	27	45
17	1000000	41000000	38	49	34	39	24	50
17	1000000	41500000	42	56	39	42	17	41
17	1000000	42000000	71	65	59	73	32	79
17	1000000	42500000	92	75	67	73	35	88
17	1000000	43000000	92	86	41	53	32	85
17	1000000	43500000	108	110	73	86	57	97
17	1000000	44000000	145	109	73	90	45	116
17	1000000	44500000	134	119	82	96	49	117
17	1000000	45000000	109	113	81	125	44	138
17	1000000	45500000	104	99	75	96	31	129
17	1000000	46000000	109	91	65	78	44	91
17	1000000	46500000	103	96	56	81	37	96
17	1000000	47000000	85	60	59	63	31	90
17	1000000	47500000	42	59	42	56	22	63
17	1000000	48000000	55	44	37	70	36	53
17	1000000	48500000	54	61	42	71	21	55
17	1000000	49000000	33	55	27	40	18	61
17	1000000	49500000	48	40	31	37	20	58
17	1000000	50000000	42	48	36	31	29	52
17	1000000	50500000	50	38	26	47	20	37
17	1000000	51000000	55	52	28	47	20	44
17	1000000	51500000	51	57	48	58	26	52
17	1000000	52000000	58	50	34	62	21	56
17	1000000	52500000	76	90	62	66	28	63
17	1000000	53000000	119	117	95	99	42	124
17	1000000	53500000	152	143	104	122	63	156
17	1000000	54000000	155	143	113	113	50	141
17	1000000	54500000	181	176	123	119	79	158
17	1000000	55000000	150	151	128	87	47	125
17	1000000	55500000	130	135	96	118	49	151
17	1000000	56000000	110	105	63	117	60	112
17	1000000	56500000	138	131	76	100	59	130
17	1000000	57000000	103	118	79	70	38	91
17	1000000	57500000	120	129	86	85	40	101
17	1000000	58000000	78	88	55	67	39	63
17	1000000	58500000	95	94	53	89	40	90
17	1000000	59000000	71	58	43	57	27	70
17	1000000	59500000	80	90	42	81	40	76
17	1000000	60000000	60	60	34	54	33	70
17	1000000	60500000	61	62	47	49	29	55
17	1000000	61000000	45	45	24	45	13	39
17	1000000	61500000	23	32	17	26	5	20
17	1000000	62000000	25	22	10	20	5	27
17	1000000	62500000	25	34	22	21	15	26
17	1000000	63000000	34	54	22	43	16	66
17	1500000	1500000	5854	3165	5652	1967	2352	4553
17	1500000	2000000	3641	1560	3089	1654	1156	2685
17	1500000	2500000	2627	1171	2169	1222	760	2008
17	1500000	3000000	2802	1361	2212	1282	830	2120
17	1500000	3500000	1713	940	1380	885	492	1290
17	1500000	4000000	1318	551	1074	635	356	904
17	1500000	4500000	1565	831	1338	606	414	1003
17	1500000	5000000	813	580	647	320	219	474
17	1500000	5500000	722	435	556	379	224	547
17	1500000	6000000	645	362	458	523	230	601
17	1500000	6500000	491	216	349	323	182	464
17	1500000	7000000	458	297	310	326	173	434
17	1500000	7500000	476	277	272	328	184	402
17	1500000	8000000	484	312	339	288	183	385
17	1500000	8500000	303	248	222	214	122	287
17	1500000	9000000	537	378	374	354	187	478
17	1500000	9500000	467	376	350	344	184	418
17	1500000	10000000	339	273	230	230	117	302
17	1500000	10500000	240	232	184	168	62	182
17	1500000	11000000	152	146	135	103	67	135
17	1500000	11500000	149	113	105	110	59	127
17	1500000	12000000	205	144	127	158	87	163
17	1500000	12500000	222	186	150	192	99	222
17	1500000	13000000	288	158	203	219	114	309
17	1500000	13500000	435	303	329	309	200	439
17	1500000	14000000	269	212	177	187	105	245
17	1500000	14500000	256	178	181	170	103	267
17	1500000	15000000	269	168	173	187	97	227
17	1500000	15500000	376	270	273	273	156	370
17	1500000	16000000	313	183	235	193	138	285
17	1500000	16500000	305	189	214	225	148	269
17	1500000	17000000	314	181	239	219	119	296
17	1500000	17500000	324	232	231	235	138	312
17	1500000	18000000	289	226	179	184	115	270
17	1500000	18500000	235	167	180	189	93	232
17	1500000	19000000	272	232	213	170	107	268
17	1500000	19500000	307	262	237	183	139	285
17	1500000	20000000	248	218	209	197	108	248
17	1500000	20500000	267	231	205	191	134	252
17	1500000	21000000	271	162	183	162	103	225
17	1500000	21500000	283	227	178	185	114	231
17	1500000	22000000	269	202	209	165	103	237
17	1500000	22500000	277	166	224	172	114	263
17	1500000	23000000	314	176	218	201	120	266
17	1500000	23500000	310	184	209	181	99	259
17	1500000	24000000	289	182	193	174	101	234
17	1500000	24500000	205	152	151	139	77	160
17	1500000	25000000	205	145	130	117	63	134
17	1500000	25500000	231	194	155	156	88	208
17	1500000	26000000	165	175	131	119	70	153
17	1500000	26500000	124	114	78	94	54	104
17	1500000	27000000	114	92	80	112	53	124
17	1500000	27500000	108	89	74	95	53	114
17	1500000	28000000	102	74	72	85	43	95
17	1500000	28500000	88	80	58	69	46	101
17	1500000	29000000	79	59	72	75	34	98
17	1500000	29500000	101	94	77	112	62	144
17	1500000	30000000	54	61	38	61	21	57
17	1500000	30500000	54	54	39	46	20	63
17	1500000	31000000	55	33	33	60	21	74
17	1500000	31500000	46	37	36	38	36	58
17	1500000	32000000	42	27	22	59	22	54
17	1500000	32500000	34	34	21	38	14	37
17	1500000	33000000	42	43	32	57	21	54
17	1500000	33500000	25	26	20	47	23	55
17	1500000	34000000	37	29	34	46	27	53
17	1500000	34500000	34	30	21	35	18	50
17	1500000	35000000	36	35	22	55	12	44
17	1500000	35500000	25	25	17	18	13	36
17	1500000	36000000	26	36	15	26	23	30
17	1500000	36500000	34	29	24	18	14	24
17	1500000	37000000	23	17	18	29	14	31
17	1500000	37500000	33	19	9	35	13	38
17	1500000	38000000	23	14	13	21	10	16
17	1500000	38500000	30	25	12	27	7	32
17	1500000	39000000	26	22	12	16	17	32
17	1500000	39500000	33	16	21	13	15	28
17	1500000	40000000	20	26	8	26	12	31
17	1500000	40500000	30	29	18	34	19	24
17	1500000	41000000	36	35	17	34	17	40
17	1500000	41500000	41	37	20	36	20	47
17	1500000	42000000	42	56	54	60	34	68
17	1500000	42500000	69	64	56	52	37	67
17	1500000	43000000	74	67	37	43	25	58
17	1500000	43500000	72	71	51	38	33	71
17	1500000	44000000	115	84	78	78	47	97
17	1500000	44500000	152	121	97	132	57	131
17	1500000	45000000	167	118	93	127	70	156
17	1500000	45500000	112	95	82	103	58	122
17	1500000	46000000	88	75	66	54	41	73
17	1500000	46500000	76	77	56	51	41	60
17	1500000	47000000	58	61	45	47	28	38
17	1500000	47500000	49	31	21	39	23	60
17	1500000	48000000	33	28	27	43	24	58
17	1500000	48500000	39	43	25	43	22	56
17	1500000	49000000	29	40	18	32	19	37
17	1500000	49500000	27	30	24	24	14	38
17	1500000	50000000	26	28	21	31	17	31
17	1500000	50500000	26	39	27	31	17	45
17	1500000	51000000	25	50	23	26	17	36
17	1500000	51500000	35	35	26	30	22	29
17	1500000	52000000	49	62	35	35	20	44
17	1500000	52500000	50	66	38	44	27	54
17	1500000	53000000	86	74	57	78	51	99
17	1500000	53500000	118	114	80	113	47	141
17	1500000	54000000	113	101	84	91	43	118
17	1500000	54500000	128	110	111	95	58	122
17	1500000	55000000	148	121	113	85	48	109
17	1500000	55500000	191	127	128	107	58	172
17	1500000	56000000	152	106	119	128	81	157
17	1500000	56500000	125	133	106	123	42	128
17	1500000	57000000	94	82	71	51	34	71
17	1500000	57500000	92	95	77	61	41	64
17	1500000	58000000	49	56	38	48	23	60
17	1500000	58500000	54	72	43	65	24	65
17	1500000	59000000	49	39	29	36	30	52
17	1500000	59500000	64	44	43	65	33	62
17	1500000	60000000	50	53	34	42	27	48
17	1500000	60500000	47	56	38	59	19	53
17	1500000	61000000	31	43	16	28	13	26
17	1500000	61500000	15	26	11	21	14	14
17	1500000	62000000	12	20	10	18	6	16
17	1500000	62500000	20	22	15	13	8	21
17	1500000	63000000	36	59	24	62	20	47
17	2000000	2000000	6051	2024	5715	2215	2416	4854
17	2000000	2500000	5477	2009	4682	2386	1960	4468
17	2000000	3000000	4398	1803	3635	1958	1478	3326
17	2000000	3500000	2431	1018	1898	1270	849	1890
17	2000000	4000000	1837	626	1485	872	593	1346
17	2000000	4500000	1654	733	1381	670	466	1078
17	2000000	5000000	625	365	518	275	163	364
17	2000000	5500000	642	358	494	374	210	510
17	2000000	6000000	744	388	553	561	370	813
17	2000000	6500000	548	249	388	432	223	555
17	2000000	7000000	459	285	352	385	193	496
17	2000000	7500000	473	256	344	348	170	443
17	2000000	8000000	388	218	285	291	163	459
17	2000000	8500000	298	208	233	218	126	292
17	2000000	9000000	502	277	406	369	237	484
17	2000000	9500000	462	314	304	307	193	452
17	2000000	10000000	310	211	223	213	125	228
17	2000000	10500000	134	112	95	99	48	106
17	2000000	11000000	84	62	63	58	32	88
17	2000000	11500000	85	57	52	66	31	78
17	2000000	12000000	121	82	94	130	61	149
17	2000000	12500000	141	76	85	128	60	147
17	2000000	13000000	226	156	181	192	135	284
17	2000000	13500000	350	232	294	310	164	333
17	2000000	14000000	170	133	146	136	79	173
17	2000000	14500000	179	133	165	126	57	187
17	2000000	15000000	254	130	175	197	109	210
17	2000000	15500000	367	195	279	240	166	433
17	2000000	16000000	289	141	203	217	115	310
17	2000000	16500000	253	143	186	194	103	246
17	2000000	17000000	307	124	194	222	117	281
17	2000000	17500000	272	139	158	168	108	211
17	2000000	18000000	236	157	139	173	79	228
17	2000000	18500000	265	159	189	203	118	274
17	2000000	19000000	248	148	182	176	101	259
17	2000000	19500000	226	154	189	113	82	190
17	2000000	20000000	200	137	167	140	86	228
17	2000000	20500000	231	193	195	181	90	229
17	2000000	21000000	254	135	166	182	98	207
17	2000000	21500000	204	162	177	171	79	200
17	2000000	22000000	216	111	176	141	77	184
17	2000000	22500000	261	157	199	196	104	247
17	2000000	23000000	287	160	223	186	109	257
17	2000000	23500000	270	127	202	191	105	288
17	2000000	24000000	301	171	200	158	97	253
17	2000000	24500000	178	129	179	126	81	161
17	2000000	25000000	175	124	113	119	69	136
17	2000000	25500000	260	154	171	166	110	220
17	2000000	26000000	71	49	68	68	28	83
17	2000000	26500000	94	45	49	80	26	103
17	2000000	27000000	86	60	60	86	44	87
17	2000000	27500000	61	60	48	59	28	93
17	2000000	28000000	69	42	57	90	42	86
17	2000000	28500000	75	42	45	66	36	84
17	2000000	29000000	52	43	29	42	21	72
17	2000000	29500000	61	38	35	70	35	84
17	2000000	30000000	38	13	17	34	8	32
17	2000000	30500000	29	24	24	29	12	44
17	2000000	31000000	32	15	17	41	12	51
17	2000000	31500000	32	22	18	21	13	32
17	2000000	32000000	14	22	24	21	17	37
17	2000000	32500000	14	10	15	23	10	27
17	2000000	33000000	31	21	24	42	12	52
17	2000000	33500000	22	23	14	21	11	19
17	2000000	34000000	25	16	15	24	13	40
17	2000000	34500000	12	20	10	24	6	24
17	2000000	35000000	18	14	15	27	12	28
17	2000000	35500000	13	14	17	16	5	20
17	2000000	36000000	16	11	11	16	1	16
17	2000000	36500000	8	9	7	18	7	17
17	2000000	37000000	13	12	9	11	5	25
17	2000000	37500000	13	14	12	13	7	15
17	2000000	38000000	16	6	6	10	1	13
17	2000000	38500000	10	12	13	8	5	13
17	2000000	39000000	15	8	8	11	13	15
17	2000000	39500000	17	20	11	16	4	18
17	2000000	40000000	13	9	8	10	5	14
17	2000000	40500000	19	11	19	8	6	13
17	2000000	41000000	15	12	15	10	0	19
17	2000000	41500000	22	13	16	23	16	25
17	2000000	42000000	41	22	15	40	13	47
17	2000000	42500000	50	42	27	32	22	54
17	2000000	43000000	26	23	24	32	16	25
17	2000000	43500000	30	31	19	30	14	32
17	2000000	44000000	64	26	43	40	12	65
17	2000000	44500000	133	80	106	105	42	140
17	2000000	45000000	151	112	106	114	59	170
17	2000000	45500000	136	73	81	97	37	98
17	2000000	46000000	61	36	46	40	23	51
17	2000000	46500000	50	28	21	42	15	36
17	2000000	47000000	19	30	25	32	11	27
17	2000000	47500000	20	21	18	19	7	27
17	2000000	48000000	22	11	12	18	12	17
17	2000000	48500000	28	24	21	34	6	29
17	2000000	49000000	16	10	5	20	1	19
17	2000000	49500000	14	8	6	20	6	24
17	2000000	50000000	16	11	14	17	5	22
17	2000000	50500000	10	8	8	15	4	22
17	2000000	51000000	14	14	8	15	6	16
17	2000000	51500000	17	14	11	13	0	15
17	2000000	52000000	23	13	14	17	5	20
17	2000000	52500000	18	31	20	30	9	36
17	2000000	53000000	47	32	39	43	13	46
17	2000000	53500000	75	47	55	69	33	91
17	2000000	54000000	58	41	45	45	28	84
17	2000000	54500000	54	28	48	45	15	61
17	2000000	55000000	104	74	72	81	34	92
17	2000000	55500000	198	121	148	102	64	156
17	2000000	56000000	201	125	146	136	87	165
17	2000000	56500000	154	105	120	111	52	124
17	2000000	57000000	58	52	52	59	22	62
17	2000000	57500000	32	30	24	24	5	28
17	2000000	58000000	28	22	8	20	8	14
17	2000000	58500000	18	20	11	15	7	29
17	2000000	59000000	22	15	22	21	8	23
17	2000000	59500000	30	29	20	32	9	33
17	2000000	60000000	35	27	12	23	16	36
17	2000000	60500000	37	19	14	34	17	33
17	2000000	61000000	18	17	25	20	7	21
17	2000000	61500000	1	6	3	3	4	14
17	2000000	62000000	10	10	2	9	2	11
17	2000000	62500000	8	8	1	5	2	7
17	2000000	63000000	39	39	19	43	26	51
17	2500000	2500000	7893	3006	7259	2546	3033	5973
17	2500000	3000000	6233	2773	5274	2649	2174	4867
17	2500000	3500000	2725	1249	2204	1406	996	2109
17	2500000	4000000	1902	689	1601	921	672	1352
17	2500000	4500000	1850	857	1535	775	486	1195
17	2500000	5000000	805	525	677	323	210	465
17	2500000	5500000	789	438	615	424	301	632
17	2500000	6000000	771	402	536	556	383	848
17	2500000	6500000	595	227	439	409	233	599
17	2500000	7000000	497	320	358	414	218	497
17	2500000	7500000	536	293	402	440	237	511
17	2500000	8000000	522	291	351	336	207	490
17	2500000	8500000	301	201	217	247	106	321
17	2500000	9000000	512	314	421	371	214	550
17	2500000	9500000	443	330	339	357	189	502
17	2500000	10000000	318	242	246	231	134	268
